PERMNO,date,TICKER,RET,sprtrn
90248,2014/12/31,DPZ,0.006074,-0.004189
90248,2015/01/30,DPZ,0.051821,-0.031041
90248,2015/02/27,DPZ,0.025038,0.054893
90248,2015/03/31,DPZ,-0.006599,-0.017396
90248,2015/04/30,DPZ,0.072601,0.008521
90248,2015/05/29,DPZ,0.007510,0.010491
90248,2015/06/30,DPZ,0.046475,-0.021012
90248,2015/07/31,DPZ,0.003880,0.019742
90248,2015/08/31,DPZ,-0.069396,-0.062581
90248,2015/09/30,DPZ,0.021522,-0.026443
90248,2015/10/30,DPZ,-0.011491,0.082983
90248,2015/11/30,DPZ,0.007500,0.000505
90248,2015/12/31,DPZ,0.038057,-0.017530
90248,2016/01/29,DPZ,0.024090,-0.050735
90248,2016/02/29,DPZ,0.167735,-0.004128
90248,2016/03/31,DPZ,-0.006013,0.065991
90248,2016/04/29,DPZ,-0.083270,0.002699
90248,2016/05/31,DPZ,0.000000,0.015329
90248,2016/06/30,DPZ,0.090007,0.000906
90248,2016/07/29,DPZ,0.121175,0.035610
90248,2016/08/31,DPZ,0.015411,-0.001219
90248,2016/09/30,DPZ,0.017784,-0.001234
90248,2016/10/31,DPZ,0.114521,-0.019426
90248,2016/11/30,DPZ,-0.007091,0.034174
90248,2016/12/30,DPZ,-0.050107,0.018201
90248,2017/01/31,DPZ,0.096081,0.017884
90248,2017/02/28,DPZ,0.087487,0.037198
90248,2017/03/31,DPZ,-0.026606,-0.000389
90248,2017/04/28,DPZ,-0.015789,0.009091
90248,2017/05/31,DPZ,0.167209,0.011576
90248,2017/06/30,DPZ,0.001275,0.004814
90248,2017/07/31,DPZ,-0.118328,0.019349
90248,2017/08/31,DPZ,-0.022735,0.000546
90248,2017/09/29,DPZ,0.091902,0.019303
90248,2017/10/31,DPZ,-0.078318,0.022188
90248,2017/11/30,DPZ,0.017268,0.028083
90248,2017/12/29,DPZ,0.017512,0.009832
90248,2018/01/31,DPZ,0.147597,0.056179
90248,2018/02/28,DPZ,0.025640,-0.038947
90248,2018/03/29,DPZ,0.052606,-0.026885
90248,2018/04/30,DPZ,0.034980,0.002719
90248,2018/05/31,DPZ,0.040334,0.021608
90248,2018/06/29,DPZ,0.124225,0.004842
90248,2018/07/31,DPZ,-0.069143,0.036022
90248,2018/08/31,DPZ,0.136679,0.030263
90248,2018/09/28,DPZ,-0.010752,0.004294
90248,2018/10/31,DPZ,-0.088229,-0.069403
90248,2018/11/30,DPZ,0.031735,0.017859
90248,2018/12/31,DPZ,-0.103779,-0.091777
90248,2019/01/31,DPZ,0.144119,0.078684
90248,2019/02/28,DPZ,-0.115568,0.029729
90248,2019/03/29,DPZ,0.031123,0.017924
90248,2019/04/30,DPZ,0.048353,0.039313
90248,2019/05/31,DPZ,0.032966,-0.065778
90248,2019/06/28,DPZ,-0.002039,0.068930
90248,2019/07/31,DPZ,-0.121281,0.013128
90248,2019/08/30,DPZ,-0.072343,-0.018092
90248,2019/09/30,DPZ,0.081114,0.017181
90248,2019/10/31,DPZ,0.110511,0.020432
