"Markettype","Trdwnt","Cwretmdos"
"21","2017-36","0.003647"
"31","2017-36","0.003723"
"37","2017-36","0.002570"
"47","2017-36","0.002656"
"53","2017-36","0.003647"
"63","2017-36","0.003723"
"69","2017-36","0.002570"
"79","2017-36","0.002656"
"85","2017-36","0.003647"
"95","2017-36","0.003723"
"101","2017-36","0.002570"
"111","2017-36","0.002656"
"117","2017-36","0.003647"
"127","2017-36","0.003723"
"33","2017-36","0.000019"
"20","2017-36","0.010040"
"10","2017-37","0.006803"
"5","2017-37","0.000668"
"15","2017-37","0.000695"
"21","2017-37","0.000541"
"31","2017-37","0.000567"
"37","2017-37","0.000668"
"47","2017-37","0.000695"
"53","2017-37","0.000541"
"63","2017-37","0.000567"
"69","2017-37","0.000668"
"79","2017-37","0.000695"
"85","2017-37","0.000541"
"95","2017-37","0.000567"
"101","2017-37","0.000668"
"111","2017-37","0.000695"
"117","2017-37","0.000541"
"127","2017-37","0.000567"
"33","2017-37","-0.003928"
"20","2017-37","0.008384"
"10","2017-38","0.005526"
"5","2017-38","0.000198"
"15","2017-38","0.000222"
"21","2017-38","0.000310"
"31","2017-38","0.000332"
"37","2017-38","0.000198"
"47","2017-38","0.000222"
"53","2017-38","0.000310"
"63","2017-38","0.000332"
"69","2017-38","0.000198"
"79","2017-38","0.000222"
"85","2017-38","0.000310"
"95","2017-38","0.000332"
"101","2017-38","0.000198"
"111","2017-38","0.000222"
"117","2017-38","0.000310"
"127","2017-38","0.000332"
"33","2017-38","0.000909"
"20","2017-38","-0.000708"
"10","2017-39","0.010070"
"5","2017-39","0.000442"
"15","2017-39","0.000486"
"21","2017-39","0.000422"
"31","2017-39","0.000464"
"37","2017-39","0.000442"
"47","2017-39","0.000486"
"53","2017-39","0.000422"
"63","2017-39","0.000464"
"69","2017-39","0.000442"
"79","2017-39","0.000486"
"85","2017-39","0.000422"
"95","2017-39","0.000464"
"101","2017-39","0.000442"
"111","2017-39","0.000486"
"117","2017-39","0.000422"
"127","2017-39","0.000464"
"33","2017-39","0.000512"
"20","2017-39","0.000271"
"10","2017-41","0.003798"
"5","2017-41","0.016378"
"15","2017-41","0.016319"
"21","2017-41","0.017175"
"31","2017-41","0.017116"
"37","2017-41","0.016378"
"47","2017-41","0.016319"
"53","2017-41","0.017175"
"63","2017-41","0.017116"
"69","2017-41","0.016378"
"79","2017-41","0.016319"
"85","2017-41","0.017175"
"95","2017-41","0.017116"
"101","2017-41","0.016378"
"111","2017-41","0.016319"
"117","2017-41","0.017175"
"127","2017-41","0.017116"
"33","2017-41","0.012037"
"20","2017-41","0.025872"
"10","2017-42","-0.013827"
"5","2017-42","-0.005710"
"15","2017-42","-0.005747"
"21","2017-42","-0.007626"
"31","2017-42","-0.007652"
"37","2017-42","-0.005710"
"47","2017-42","-0.005747"
"53","2017-42","-0.007626"
"63","2017-42","-0.007652"
"69","2017-42","-0.005710"
"79","2017-42","-0.005747"
"85","2017-42","-0.007626"
"95","2017-42","-0.007652"
"101","2017-42","-0.005710"
"111","2017-42","-0.005747"
"117","2017-42","-0.007626"
"127","2017-42","-0.007652"
"33","2017-42","-0.000387"
"20","2017-42","-0.019713"
"10","2017-43","0.005779"
"5","2017-43","0.013102"
"15","2017-43","0.013069"
"21","2017-43","0.012704"
"31","2017-43","0.012674"
"37","2017-43","0.013102"
"47","2017-43","0.013069"
"53","2017-43","0.012704"
"63","2017-43","0.012674"
"69","2017-43","0.013102"
"79","2017-43","0.013069"
"85","2017-43","0.012704"
"95","2017-43","0.012674"
"101","2017-43","0.013102"
"111","2017-43","0.013069"
"117","2017-43","0.012704"
"127","2017-43","0.012674"
"33","2017-43","0.011520"
"20","2017-43","0.014710"
"10","2017-44","-0.016413"
"5","2017-44","-0.015782"
"15","2017-44","-0.015785"
"21","2017-44","-0.017119"
"31","2017-44","-0.017116"
"37","2017-44","-0.015782"
"47","2017-44","-0.015785"
"53","2017-44","-0.017119"
"63","2017-44","-0.017116"
"69","2017-44","-0.015782"
"79","2017-44","-0.015785"
"85","2017-44","-0.017119"
"95","2017-44","-0.017116"
"101","2017-44","-0.015782"
"111","2017-44","-0.015785"
"117","2017-44","-0.017119"
"127","2017-44","-0.017116"
"33","2017-44","-0.011747"
"20","2017-44","-0.026183"
"10","2017-45","0.024501"
"5","2017-45","0.022384"
"15","2017-45","0.022394"
"21","2017-45","0.023284"
"31","2017-45","0.023289"
"37","2017-45","0.022384"
"47","2017-45","0.022394"
"53","2017-45","0.023284"
"63","2017-45","0.023289"
"69","2017-45","0.022384"
"79","2017-45","0.022394"
"85","2017-45","0.023284"
"95","2017-45","0.023289"
"101","2017-45","0.022384"
"111","2017-45","0.022394"
"117","2017-45","0.023284"
"127","2017-45","0.023289"
"33","2017-45","0.016706"
"20","2017-45","0.034593"
"10","2017-46","-0.036936"
"5","2017-46","-0.016231"
"15","2017-46","-0.016324"
"21","2017-46","-0.019041"
"31","2017-46","-0.019115"
"37","2017-46","-0.016231"
"47","2017-46","-0.016324"
"53","2017-46","-0.019041"
"63","2017-46","-0.019115"
"69","2017-46","-0.016231"
"79","2017-46","-0.016324"
"85","2017-46","-0.019041"
"95","2017-46","-0.019115"
"101","2017-46","-0.016231"
"111","2017-46","-0.016324"
"117","2017-46","-0.019041"
"127","2017-46","-0.019115"
"33","2017-46","-0.007187"
"20","2017-46","-0.039061"
"10","2017-47","-0.010000"
"5","2017-47","-0.007069"
"15","2017-47","-0.007082"
"21","2017-47","-0.008371"
"31","2017-47","-0.008378"
"37","2017-47","-0.007069"
"47","2017-47","-0.007082"
