"Symbol","TradingDate","ChangeRatio"
"000300","2021-09-07","0.011979"
"000300","2021-09-08","-0.004145"
"000300","2021-09-09","-0.000426"
"000300","2021-09-10","0.008754"
"000300","2021-09-13","-0.004361"
"000300","2021-09-14","-0.014924"
"000300","2021-09-15","-0.010137"
"000300","2021-09-16","-0.012249"
"000300","2021-09-17","0.010034"
"000300","2021-09-20","0.000000"
"000300","2021-09-21","0.000000"
"000300","2021-09-22","-0.007037"
"000300","2021-09-23","0.006518"
"000300","2021-09-24","-0.000776"
"000300","2021-09-27","0.005762"
"000300","2021-09-28","0.001324"
"000300","2021-09-29","-0.010217"
"000300","2021-09-30","0.006714"
"000300","2021-10-01","0.000000"
"000300","2021-10-04","0.000000"
"000300","2021-10-05","0.000000"
"000300","2021-10-06","0.000000"
"000300","2021-10-07","0.000000"
"000300","2021-10-08","0.013061"
"000300","2021-10-11","0.001268"
"000300","2021-10-12","-0.010606"
"000300","2021-10-13","0.011522"
"000300","2021-10-14","-0.005364"
"000300","2021-10-15","0.003764"
"000300","2021-10-18","-0.011624"
"000300","2021-10-19","0.009836"
"000300","2021-10-20","-0.002547"
"000300","2021-10-21","0.003631"
"000300","2021-10-22","0.006434"
"000300","2021-10-25","0.003992"
"000300","2021-10-26","-0.003299"
"000300","2021-10-27","-0.013083"
"000300","2021-10-28","-0.006947"
"000300","2021-10-29","0.009176"
"000300","2021-11-01","-0.003684"
"000300","2021-11-02","-0.010395"
"000300","2021-11-03","-0.003871"
"000300","2021-11-04","0.009879"
"000300","2021-11-05","-0.005422"
"000300","2021-11-08","0.001205"
"000300","2021-11-09","-0.000296"
"000300","2021-11-10","-0.005272"
"000300","2021-11-11","0.016067"
"000300","2021-11-12","-0.002098"
"000300","2021-11-15","-0.001227"
"000300","2021-11-16","0.000193"
"000300","2021-11-17","0.000498"
"000300","2021-11-18","-0.009852"
"000300","2021-11-19","0.010840"
"000300","2021-11-22","0.004569"
"000300","2021-11-23","0.000193"
"000300","2021-11-24","0.000674"
"000300","2021-11-25","-0.004112"
"000300","2021-11-26","-0.007417"
"000300","2021-11-29","-0.001791"
"000300","2021-11-30","-0.003998"
"000300","2021-12-01","0.002447"
"000300","2021-12-02","0.002542"
"000300","2021-12-03","0.009237"
"000300","2021-12-06","-0.001713"
"000300","2021-12-07","0.006026"
"000300","2021-12-08","0.014999"
"000300","2021-12-09","0.016565"
"000300","2021-12-10","-0.004642"
"000300","2021-12-13","0.005674"
"000300","2021-12-14","-0.006709"
"000300","2021-12-15","-0.008673"
"000300","2021-12-16","0.005760"
"000300","2021-12-17","-0.015884"
"000300","2021-12-20","-0.015004"
"000300","2021-12-21","0.006775"
"000300","2021-12-22","0.000197"
"000300","2021-12-23","0.006976"
"000300","2021-12-24","-0.005536"
"000300","2021-12-27","-0.000411"
"000300","2021-12-28","0.007448"
"000300","2021-12-29","-0.014626"
"000300","2021-12-30","0.007788"
"000300","2021-12-31","0.003833"
"399006","2019-01-01","0.000000"
"399006","2019-01-02","-0.017399"
"399006","2019-01-03","-0.011613"
"399006","2019-01-04","0.025245"
"399006","2019-01-07","0.018392"
"399006","2019-01-08","-0.003587"
"399006","2019-01-09","-0.000786"
"399006","2019-01-10","-0.002794"
"399006","2019-01-11","0.002042"
"399006","2019-01-14","-0.012335"
