PERMNO,date,TICKER,PRC,RET,sprtrn
89393,2021/01/11,NFLX,499.10001,-0.022139,-0.006555
89393,2021/01/12,NFLX,494.25000,-0.009718,0.000416
89393,2021/01/13,NFLX,507.79001,0.027395,0.002276
89393,2021/01/14,NFLX,500.85999,-0.013647,-0.003753
89393,2021/01/15,NFLX,497.98001,-0.005750,-0.007190
89393,2021/01/19,NFLX,501.76999,0.007611,0.008136
89393,2021/01/20,NFLX,586.34003,0.168543,0.013936
89393,2021/01/21,NFLX,579.84003,-0.011086,0.000317
89393,2021/01/22,NFLX,565.16998,-0.025300,-0.003011
89393,2021/01/25,NFLX,556.78003,-0.014845,0.003616
89393,2021/01/26,NFLX,561.92999,0.009250,-0.001489
89393,2021/01/27,NFLX,523.28003,-0.068781,-0.025678
89393,2021/01/28,NFLX,538.59998,0.029277,0.009761
89393,2021/01/29,NFLX,532.39001,-0.011530,-0.019312
89393,2021/02/01,NFLX,539.03998,0.012491,0.016052
89393,2021/02/02,NFLX,548.15997,0.016919,0.013898
89393,2021/02/03,NFLX,539.45001,-0.015889,0.001009
89393,2021/02/04,NFLX,552.15997,0.023561,0.010853
89393,2021/02/05,NFLX,550.78998,-0.002481,0.003897
89393,2021/02/08,NFLX,547.91998,-0.005211,0.007399
89393,2021/02/09,NFLX,559.07001,0.020350,-0.001113
89393,2021/02/10,NFLX,563.59003,0.008085,-0.000345
89393,2021/02/11,NFLX,557.59003,-0.010646,0.001662
89393,2021/02/12,NFLX,556.52002,-0.001919,0.004711
89393,2021/02/16,NFLX,557.28003,0.001366,-0.000569
89393,2021/02/17,NFLX,551.34003,-0.010659,-0.000320
89393,2021/02/18,NFLX,548.21997,-0.005659,-0.004416
89393,2021/02/19,NFLX,540.21997,-0.014593,-0.001855
89393,2021/02/22,NFLX,533.78003,-0.011921,-0.007733
89393,2021/02/23,NFLX,546.15002,0.023174,0.001256
89393,2021/02/24,NFLX,553.40997,0.013293,0.011352
89393,2021/02/25,NFLX,546.70001,-0.012125,-0.024479
89393,2021/02/26,NFLX,538.84998,-0.014359,-0.004750
89393,2021/03/01,NFLX,550.64001,0.021880,0.023791
89393,2021/03/02,NFLX,547.82001,-0.005121,-0.008081
89393,2021/03/03,NFLX,520.70001,-0.049505,-0.013066
89393,2021/03/04,NFLX,511.29001,-0.018072,-0.013417
89393,2021/03/05,NFLX,516.39001,0.009975,0.019496
89393,2021/03/08,NFLX,493.32999,-0.044656,-0.005359
89393,2021/03/09,NFLX,506.44000,0.026575,0.014155
89393,2021/03/10,NFLX,504.54001,-0.003752,0.006030
89393,2021/03/11,NFLX,523.06000,0.036707,0.010395
89393,2021/03/12,NFLX,518.02002,-0.009636,0.001015
89393,2021/03/15,NFLX,520.25000,0.004305,0.006492
89393,2021/03/16,NFLX,524.03003,0.007266,-0.001570
89393,2021/03/17,NFLX,524.44000,0.000782,0.002879
89393,2021/03/18,NFLX,504.79001,-0.037469,-0.014761
89393,2021/03/19,NFLX,512.17999,0.014640,-0.000603
89393,2021/03/22,NFLX,523.10999,0.021340,0.007025
89393,2021/03/23,NFLX,535.09003,0.022902,-0.007631
89393,2021/03/24,NFLX,520.81000,-0.026687,-0.005467
89393,2021/03/25,NFLX,502.85999,-0.034466,0.005240
89393,2021/03/26,NFLX,508.04999,0.010321,0.016631
89393,2021/03/29,NFLX,513.95001,0.011613,-0.000868
89393,2021/03/30,NFLX,513.39001,-0.001090,-0.003158
89393,2021/03/31,NFLX,521.65997,0.016109,0.003623
89393,2021/04/01,NFLX,539.41998,0.034045,0.011825
89393,2021/04/05,NFLX,540.66998,0.002317,0.014438
89393,2021/04/06,NFLX,544.53003,0.007139,-0.000974
89393,2021/04/07,NFLX,546.98999,0.004518,0.001475
89393,2021/04/08,NFLX,554.58002,0.013876,0.004221
89393,2021/04/09,NFLX,555.31000,0.001316,0.007720
89393,2021/04/12,NFLX,552.78003,-0.004556,-0.000196
89393,2021/04/13,NFLX,553.72998,0.001718,0.003295
89393,2021/04/14,NFLX,540.02002,-0.024759,-0.004088
89393,2021/04/15,NFLX,549.21997,0.017036,0.011094
89393,2021/04/16,NFLX,546.53998,-0.004880,0.003609
89393,2021/04/19,NFLX,554.44000,0.014455,-0.005306
89393,2021/04/20,NFLX,549.57001,-0.008784,-0.006802
89393,2021/04/21,NFLX,508.89999,-0.074003,0.009306
89393,2021/04/22,NFLX,508.78000,-0.000236,-0.009211
89393,2021/04/23,NFLX,505.54999,-0.006349,0.010929
89393,2021/04/26,NFLX,510.29999,0.009396,0.001782
89393,2021/04/27,NFLX,505.54999,-0.009308,-0.000215
89393,2021/04/28,NFLX,506.51999,0.001919,-0.000846
89393,2021/04/29,NFLX,509.00000,0.004896,0.006763
89393,2021/04/30,NFLX,513.46997,0.008782,-0.007195
89393,2021/05/03,NFLX,509.10999,-0.008491,0.002748
89393,2021/05/04,NFLX,503.17999,-0.011648,-0.006678
89393,2021/05/05,NFLX,496.07999,-0.014110,0.000704
89393,2021/05/06,NFLX,499.54999,0.006995,0.008165
89393,2021/05/07,NFLX,503.84000,0.008588,0.007373
89393,2021/05/10,NFLX,486.69000,-0.034039,-0.010436
89393,2021/05/11,NFLX,495.07999,0.017239,-0.008674
89393,2021/05/12,NFLX,484.98001,-0.020401,-0.021449
89393,2021/05/13,NFLX,486.66000,0.003464,0.012173
